no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
BRM146,GREEN,TOYOTA,2003,CAR,2024-01-13,Waikato,3,January,21
JBZ756,SILVER,AUDI,2008,CAR,2024-01-14,Waikato,3,January,16
P7338,SILVER,HOMEBUILT,1973,TRAILER,2024-01-14,Waikato,3,January,51
BWQ112,BLUE,FORD,2004,UTILITY TRUCK,2024-01-15,Waikato,3,January,20
DUQ201,RED,TOYOTA,1994,CAR,2024-01-15,Waikato,3,January,30
628Z4,SILVER,HOMEBUILT,2023,TRAILER,2024-01-16,Waikato,3,January,1
6979R,GREY,FACTORY BUILT,2000,TRAILER,2024-01-16,Waikato,3,January,24
FUP695,BLACK,HOLDEN,2011,CAR,2024-01-17,Waikato,3,January,13
B4EDR,RED,PIAGGIO,2016,MOTORCYCLE,2024-01-18,Waikato,3,January,8
MCQ772,BLACK,AUDI,2007,CAR,2024-01-18,Waikato,3,January,17
420F1,GREY,BRENT SMITH,2022,TRAILER,2024-01-18,Waikato,3,January,2
KWZ249,WHITE,TOYOTA,2010,CAR,2024-01-18,Waikato,3,January,14
HUG172,WHITE,TOYOTA,2014,UTILITY TRUCK,2024-01-19,Waikato,3,January,10
HYC919,BLACK,FORD,2007,CAR,2024-01-20,Waikato,3,January,17
I36OO,BLUE,SUBARU,1998,CAR,2024-01-21,Waikato,3,January,26
LCU262,WHITE,TOYOTA,2006,CAR,2024-01-21,Waikato,3,January,18
PUG680,SILVER,TOYOTA,2017,CAR,2024-01-21,Waikato,3,January,7
AYY746,SILVER,TOYOTA,2002,CAR,2024-01-21,Waikato,3,January,22
S266A,SILVER,HOMEBUILT,2011,TRAILER,2024-01-21,Waikato,3,January,13
PTW711,WHITE,TOYOTA,2009,CAR,2024-01-22,Waikato,3,January,15
M999D,GREEN,HOMEBUILT,2008,TRAILER,2024-01-22,Waikato,3,January,16
MML565,GOLD,NISSAN,2006,CAR,2024-01-22,Waikato,3,January,18
